Frames	sa_pro	sa_A	sa_C	sa_buried
0	12190.05664	12221.14648	350.3587036	381.4485474
1	12823.60059	12813.09766	340.4240112	329.9210815
2	13086.55566	13048.19727	352.6297302	314.2713318
3	12915.30566	12886.77637	350.7874756	322.2581787
4	12880.59082	12855.36719	342.8083496	317.5847168
5	12805.99609	12823.36035	344.6071472	361.971405
6	12901.10449	12892.10254	346.0740662	337.072113
7	12884.70801	12893.7373	339.8824158	348.9117126
8	12802.89258	12796.84473	348.0485535	342.0007019
9	13255.25	13237.15332	347.4573975	329.3607178
10	13060.35938	13046.44824	345.0487061	331.1375732
11	12935.45703	12966.91113	351.4962158	382.9503174
12	12672.59375	12682.88965	345.5528564	355.8487549
13	12813.58008	12810.8252	340.8673706	338.1124878
14	12728.73047	12749.60059	351.4072266	372.2773438
15	12617.53613	12645.86328	354.5860596	382.913208
16	12921.91992	12951.12305	357.0905151	386.2936401
17	12842.90918	12926.27832	337.6282654	420.997406
18	13025.59863	13034.87109	345.0039673	354.2764282
19	12748.70215	12780.04199	330.0547485	361.3945923
20	12677.24512	12711.15918	351.5689087	385.4829712
21	12688.61719	12685.50293	344.7199402	341.6056824
22	12482.02441	12518.35645	337.9529724	374.2850037
23	12620.19629	12657.56152	331.7034302	369.0686646
24	12861.96387	12888.83789	349.4351196	376.3091431
25	12819.59375	12841.60547	344.2065125	366.2182312
26	12671.29199	12686.20898	327.9581909	342.8751831
27	12854.31738	12867.00684	343.6523132	356.3417664
28	12769.19531	12793.75586	358.3861389	382.9466858
29	12932.80273	12980.05078	343.7269592	390.9750061
30	12774.30762	12797.03613	338.9389648	361.6674805
31	12945.97461	12976.81543	336.9830933	367.8239136
32	12951.91895	12984.44141	337.1602783	369.6827393
33	12874.01465	12925.59668	347.7027588	399.28479
34	13059.1748	13096.19434	348.1123352	385.1318665
35	13045.41797	13070.12793	352.7001038	377.4100647
36	13138.03516	13142.26563	349.2016296	353.4320984
37	12867.13867	12956.44629	347.0857239	436.3933411
38	13092.81445	13127.99121	346.0093079	381.1860657
39	12778.02637	12838.60254	346.3497925	406.9259644
40	12671.28809	12749.26953	332.7876892	410.7691345
41	12817.18652	12936.22168	345.3849792	464.4201355
42	12935.1123	12988.89453	340.5383911	394.3206177
43	12953.75195	13007.0332	341.5537415	394.8349915
44	12789.31445	12780.53223	331.9680786	323.1858521
45	12960.38867	13043.09473	350.9606628	433.6667175
46	12920.8125	13001.3877	355.7130127	436.288208
47	12812.48828	12914.96777	337.1448975	439.6243896
48	12838.56738	12894.36621	346.8255615	402.6243896
49	12767.62598	12884.18848	354.4868164	471.0493164
50	12825.99023	12970.60449	344.6043091	489.2185669
