Frames	sa_pro	sa_A	sa_C	sa_buried
835	12884.81641	12980.00391	328.2868958	423.4743958
836	12705.4209	12827.85059	342.1579285	464.587616
837	12995.25293	13108.85547	344.5997925	458.2023315
838	12922.55078	12948.52539	336.4837341	362.4583435
839	12946.74902	13068.4248	358.7362061	480.4119873
840	12811.59668	12893.29199	338.9446411	420.6399536
841	12662.21387	12794.51465	346.1080322	478.4088135
842	12596.67676	12700.83008	336.7176819	440.8710022
843	12929.27637	13011.43555	320.6395264	402.7987061
844	12565.42773	12634.70215	332.8610229	402.135437
845	12576.8623	12690.12988	346.0208435	459.2884216
846	12703.0625	12836.20996	353.2271118	486.3745728
847	12700.9248	12780.02539	346.9509583	426.0515442
848	12414.0918	12557.49902	350.4447021	493.8519287
849	12536.40137	12652.39551	342.63797	458.6321106
850	12571.05176	12660.15527	337.4359436	426.5394592
851	12671.61523	12819.60645	340.1515808	488.1427917
852	12215.51367	12357.91602	342.7809753	485.1833191
853	12411.0498	12542.36621	351.3115234	482.6279297
854	12525.86816	12645.30957	348.9535828	468.394989
855	12575.24512	12731.55469	350.0483398	506.3579102
856	12864.96777	13023.12598	346.9587402	505.1169434
857	12805.93457	12918.02637	349.9756775	462.0674744
858	12768.70117	12893.97754	350.2034302	475.4797974
859	12793.50879	12935.05859	354.4309998	495.9808044
860	12626.90918	12762.94434	346.0665588	482.1017151
861	12646.77344	12771.58789	344.5874939	469.401947
862	12784.3877	12886.85059	341.2103882	443.6732788
863	12712.7207	12833.30859	349.9345093	470.5223999
864	12876.4209	12976.48047	336.452301	436.5118713
865	12811.53809	12938.50098	349.3828735	476.3457642
866	12619.00488	12736.95703	342.3969421	460.3490906
867	12736.24023	12820.0166	352.3595581	436.1359253
868	12698.74902	12792.83594	353.5088501	447.5957642
869	12957.4873	13069.99121	346.8442078	459.348114
870	12652.04199	12777.22852	342.4776306	467.6641541
871	12425.45605	12553.47656	350.9096375	478.9301453
872	12640.55664	12766.65527	347.0170593	473.1156921
873	12480.18945	12644.62012	347.7232971	512.1539612
874	12659.97754	12806.17285	343.8116455	490.006958
875	12851.81738	12983.23828	347.6131897	479.0340881
876	12911.71973	13042.58496	355.4443665	486.3096008
877	12497.82129	12625.95117	345.3156128	473.4454956
878	12814.49512	12953.2959	349.1880493	487.9888306
879	12770.15625	12889.75586	355.0248718	474.6244812
880	12481.22168	12601.00684	340.5785828	460.363739
881	12718.00781	12850.00488	346.2608032	478.2578735
882	12619.37695	12751.69629	351.8548889	484.1742249
883	12506.22559	12620.32813	347.5748291	461.6773682
884	12412.36816	12489.35254	351.5668945	428.5512695
885	12752.51563	12834.62109	343.5689087	425.6743774
886	12899.20801	13002.71777	344.3904419	447.9002075
887	12932.11328	13064.57422	351.5814819	484.0424194
888	12824.41895	12955.375	345.8501282	476.8061829
889	12625.97168	12778.69238	346.6184387	499.3391418
890	12830.37305	12971.99707	351.2207947	492.8448181
891	12961.73145	13107.33984	352.0260315	497.6344299
892	12930.23047	13063.11621	359.4904785	492.3762207
893	12654.40918	12819.14844	346.3791809	511.1184387
