Frames	sa_pro	sa_A	sa_C	sa_buried
0	12381.73047	12374.83203	344.6400146	337.7415771
1	12899.31934	12794.39258	357.5271301	252.6003723
2	12910.10742	12848.04883	341.3946533	279.3360596
3	12708.27734	12626.97461	341.0437622	259.7410278
4	12975.62305	12969.49414	338.3857117	332.2568054
5	13013.53027	13008.62305	333.4924316	328.5852051
6	13023.91113	13003.58887	348.2327576	327.9104919
7	13158.19824	13107.94043	344.4407959	294.1829834
8	12745.70313	12747.7627	336.7104187	338.769989
9	12939.32129	12881.21875	329.4397278	271.3371887
10	13243.9043	13254.78418	342.9327393	353.8126221
11	13115.74805	13117.61328	347.0578003	348.9230347
12	12908.05762	12943.00195	354.6843567	389.6286926
13	13085.66602	13096.7373	349.3808594	360.4521484
14	12940.56641	12948.47461	346.7763672	354.6845703
15	13155.14746	13198.31543	350.4258423	393.593811
16	13051.57227	13029.75293	347.7067261	325.8873901
17	13002.45605	13027.73828	337.8521423	363.1343689
18	12932.41992	12957.05469	339.6554565	364.2902222
19	12930.96094	12941.81543	349.4014587	360.2559509
20	12830.07617	12852.19336	346.0555115	368.172699
21	13036.70508	13015.46582	345.7685547	324.5292969
22	12726.63867	12707.87598	354.5787659	335.8160706
23	12850.26367	12855.21191	346.6953735	351.6436157
24	12778.33789	12797.80371	341.668335	361.1341553
25	12829.33984	12843.21973	354.8492126	368.7290955
26	12939.73633	12952.62207	346.5322876	359.4180298
27	12842.62402	12880.12305	353.6860046	391.1850281
28	12970.09766	13002.67188	350.0591431	382.6333618
29	12737.38867	12747.12598	350.82724	360.5645447
30	12794.95313	12800.57422	342.7646484	348.3857422
31	12766.9248	12803.00488	348.0563049	384.1363831
32	12926.6377	12935.30078	341.4546814	350.1177673
33	13024.7666	13062.80176	343.8920593	381.9272156
34	12715.54004	12663.125	340.4498901	288.0348511
35	12706.72852	12672.14648	343.5	308.9179688
36	12981.18164	12962.36816	346.1344299	327.3209534
37	12937.5459	12919.95996	336.2786255	318.692688
38	13109.46191	13026.80371	351.6148987	268.9566956
39	12963.98633	12953.18164	331.665741	320.8610535
40	13032.56152	12987.75781	331.3050537	286.5013428
41	12965.60547	12917.56348	330.2434998	282.2015076
42	13120.17285	13046.99707	332.9085693	259.7327881
43	12912.47656	12860.58789	334.4436951	282.5550232
44	12943.67871	12974.85938	340.1294556	371.3101196
45	12910.06152	12912.46387	331.1899719	333.5923157
46	13099.56348	13099.29297	338.888855	338.6183472
47	13115.00293	13073.64941	344.2891541	302.9356384
48	13031.08398	12989.74414	345.4613953	304.1215515
49	13044.24121	13043.59961	347.4448242	346.8032227
50	12950.91211	12984.24023	347.686615	381.01474
51	13246.59277	13231.70605	346.9324341	332.0457153
52	13019.39258	13071.74805	345.34552	397.7009888
53	12910.28223	12964.28418	334.385376	388.3873291
54	12992.32617	13030.86328	340.3878174	378.9249268
55	12939.8252	12996.03223	335.4351196	391.6421509
56	12740.67773	12759.13379	335.8548584	354.3109131
57	12908.85645	12896.28027	346.171875	333.5957031
58	12821.06836	12868.89746	349.9264832	397.7555847
59	12849.36719	12946.70996	343.5326843	440.8754578
60	12852.81934	12935.55664	343.0368042	425.7741089
61	12905.19727	12991.95313	345.6224365	432.3782959
62	12985.79785	13018.90039	349.6922607	382.7947998
63	12941.70313	13023.2373	333.5434265	415.0776062
64	13205.61328	13296.29688	341.0631409	431.7467346
65	12890.01172	12916.51465	354.7240601	381.2269897
66	12796.55957	12868.60059	349.3089294	421.3499451
67	13011.93359	13113.23926	342.5733643	443.8790283
68	12928.99902	13023.57031	352.3328857	446.9041748
69	12917.19238	12994.60059	360.0949402	437.5031433
70	13057.08691	13090.91113	347.0897217	380.9139404
71	13047.78711	13052.70703	346.3030701	351.2229919
72	13058.99219	13106.8916	341.8696289	389.769043
73	12933.76074	12959.01953	343.1979065	368.4566956
74	13308.47949	13272.75195	355.0653687	319.3378296
75	13164.1123	13182.41992	347.9389343	366.2465515
76	13346.82227	13373.13184	336.3281555	362.6377258
77	12895.43457	12942.13086	343.6374817	390.3337708
78	13103.4668	13154.74219	342.9883118	394.2637024
79	13140.27832	13190.26563	335.1964111	385.1837158
80	13153.45605	13196.31641	340.8560486	383.7164001
81	12826.47949	12885.63184	332.7117615	391.8641052
82	13063.39258	13092.62109	338.3469849	367.5755005
83	13019.15918	13062.93555	342.2579651	386.0343323
84	13250.04492	13206.10352	341.5082397	297.5668335
85	13267.41309	13276.88574	334.226532	343.6991882
86	13225.4209	13280.44727	348.3315125	403.3578796
87	13433.88477	13412.43848	354.213623	332.767334
88	13283.74316	13266.73828	355.5300598	338.525177
89	13428.71484	13391.83594	358.5309143	321.6520081
90	13419.76758	13460.44336	343.5982666	384.2740479
91	13572.12988	13542.1875	354.0690918	324.126709
92	13591.45508	13535.39941	354.110321	298.054657
93	13453.27148	13458.51465	345.4510498	350.6942139
94	13294.15723	13284.17773	343.5422363	333.5627441
95	13294.70801	13344.25879	350.8526306	400.4034119
96	13380.00684	13407.94434	343.1205139	371.0580139
97	13310.91016	13355.66406	339.8157959	384.5697021
98	13043.54102	13038.2959	355.7582703	350.5131531
99	13092.06055	13155.04883	340.8321838	403.8204651
100	13005.60059	13020.94629	330.9082336	346.2539368
101	12959.41602	13010.16113	341.9498291	392.6949463
102	12732.99023	12773.40918	338.8107605	379.2297058
103	13151.64551	13188.13965	342.094574	378.5887146
104	13178.07422	13202.41504	343.2232971	367.5641174
105	13244.38379	13272.5166	339.8939514	368.0267639
106	13173.28711	13212.59668	343.1831055	382.4926758
107	13055.33984	13029.56445	349.8430176	324.067627
108	13030.20996	13068.56641	342.624115	380.9805603
109	12920.16992	12954.59473	342.9656372	377.3904419
110	13211.39453	13202.9375	341.111908	332.6548767
111	13056.93164	13065.7959	350.3482056	359.2124634
112	13154.36426	13144.46484	344.666687	334.7672729
113	13280.3291	13175.76172	329.2660828	224.6987
114	13109.12305	13053.875	338.1409302	282.8928833
115	13024.65332	12950.25195	330.9979858	256.5966187
116	13196.81641	13078.83105	346.7481689	228.7628174
117	13009.37012	12877.15137	343.0152283	210.7964783
118	12936.23926	12876.84961	343.4107666	284.0211182
119	13088.55762	13105.63867	340.6903992	357.7714539
120	13081.90137	13072.66699	345.4450378	336.2106628
121	13027.48242	13029.23926	348.7612915	350.5181274
122	13067.27734	13068.24902	345.3100586	346.2817383
123	13250.99512	13266.94727	352.5585632	368.5107117
124	13262.09375	13324.2793	345.4000244	407.5855713
125	13030.21973	13052.58105	352.9501343	375.3114624
126	12961.66797	13040.44531	346.1314087	424.9087524
127	13255.36914	13287.87793	350.9445801	383.4533691
128	13093.54004	13149.30078	352.2587891	408.0195313
129	12893.60938	12928.20508	345.3686218	379.964325
130	12938.12793	12957.86426	346.4616699	366.197998
131	12945.20703	12930.74902	348.9194031	334.4613953
132	12752.5459	12721.5791	334.5525513	303.5857544
133	13128.81836	13087.23633	338.1690979	296.5870667
134	12974.71191	13002.69922	343.8322449	371.8195496
135	13109.91211	13154.50781	341.9324646	386.5281677
136	13014.2959	13065.16113	338.8144836	389.679718
137	13374.70508	13347.4502	351.0335388	323.778656
138	12923.88965	12967.55469	340.0018005	383.6668396
139	12904.59961	12925.52148	351.2238159	372.1456909
140	13029.19141	13080.32031	342.6384277	393.767334
141	12813.7793	12852.95313	339.2246704	378.3984985
142	12960.4082	13001.05371	346.0014954	386.6470032
143	13224.61621	13297.2207	333.912384	406.5168762
144	12856.08789	12912.55664	331.9105225	388.3792725
145	12963.14648	13052.07715	333.5687866	422.4994507
146	13003.2959	13068.89258	350.5067444	416.1034241
147	13109.0293	13175.8125	338.2055359	404.988739
148	13165.12891	13228.97754	348.0656128	411.9142456
149	13085.07227	13136.42188	339.2613831	390.6109924
150	13151.05957	13235.39844	343.1320801	427.4709473
151	13215.65723	13332.84277	343.0818176	460.2673645
152	13248.62598	13344.42969	343.73526	439.5389709
153	13145.9043	13229.47461	337.2952576	420.8655701
154	13158.86328	13248.5293	334.7867432	424.4527588
155	13280.40137	13383.23242	348.2121582	451.0432129
156	13087.0332	13126.97559	340.6607666	380.6031494
157	13078.40332	13166.8418	334.4273682	422.8658447
158	13145.41309	13270.78223	344.0220337	469.3911743
159	13188.0166	13261.09863	344.7576294	417.8396606
160	13224.82324	13272.05078	341.2245178	388.4520569
161	13140.87109	13254.66699	345.7685242	459.5644226
162	13276.67285	13365.52441	342.6339111	431.4854736
163	13147.71875	13249.13184	342.2991638	443.7122498
164	13287.40918	13386.66504	340.9525757	440.2084351
165	13285.92578	13361.24219	343.1579895	418.4743958
166	13018.16699	13115.33398	337.3638306	434.5308228
167	13126.94336	13225.10938	342.4265747	440.5925903
168	12888.26855	12975.1084	340.7210693	427.5609131
169	13208.30664	13307.41504	350.3411865	449.449585
170	13031.55273	13177.00391	334.772644	480.2238159
171	12886.82422	12988.95996	342.3370972	444.4728394
172	12991.05957	13115.1084	342.440918	466.4897461
173	13006.72461	13137.88672	351.6351929	482.7973022
174	13208.12891	13329.7666	345.6451111	467.2828064
175	13171.53906	13260.84473	344.8131714	434.1188354
176	13083.875	13144.49219	339.5948486	400.2120361
177	13079.64746	13176.70605	339.7494202	436.8080139
178	13163.12207	13290.15625	340.834137	467.8683167
179	12993.73926	13067.92676	350.846283	425.033783
180	12698.67285	12793.95801	336.4151001	431.7002563
181	12887.54883	13001.2793	343.6080933	457.338562
182	12890.52051	12938.96289	346.5282593	394.9706421
183	13072.60156	13088.78125	356.3788147	372.5585022
184	13318.86426	13412.00977	353.9509583	447.0964661
185	13450.48535	13504.61133	349.7955322	403.9215088
186	13149.08203	13241.64258	348.6989441	441.259491
187	13447.98438	13424.31641	346.5237427	322.8557739
188	13342.98438	13300.23633	343.6809387	300.9328918
189	13486.18945	13513.23633	343.5801697	370.6270447
190	13434.43164	13504.47266	333.4948425	403.5358582
191	13328.7666	13317.53418	340.4503784	329.2179565
192	13479.75586	13435.02734	337.5923157	292.8638
193	13502.56641	13453.64844	354.4432983	305.5253296
194	13353.29785	13338.46094	337.4510498	322.6141357
195	13270.81055	13283.32813	342.5811462	355.0987244
196	13066.25391	13055.68457	345.8343811	335.2650452
197	12822.4248	12812.35059	350.7206116	340.6463928
198	13081.87695	13066.76074	344.7463379	329.630127
199	13268.76563	13269.84766	336.0358276	337.1178589
200	13344.50195	13366.79199	341.4670105	363.7570496
201	13320.32617	13359.0957	345.1999817	383.9695129
202	13442.24902	13429.43066	343.848114	331.0297546
203	13260.1123	13265.84473	347.1864624	352.9188843
204	13347.92969	13340.83789	351.2866516	344.1948547
205	13184.24707	13181.41504	356.2920532	353.460022
206	13364.73438	13361.65625	339.6391296	336.5610046
207	13350.36328	13404.26074	341.6411438	395.5386047
208	13463.31055	13484.27344	339.7886658	360.7515564
209	13613.3877	13607.15527	345.158783	338.9263611
210	13436.44531	13436.84375	342.3406372	342.7390747
211	13410.78906	13438.39941	336.7674561	364.3778076
212	13590.35938	13551.1543	353.8237915	314.6187134
213	13550.19043	13514.08398	344.4962769	308.3898315
214	13396.6543	13442.65137	338.5420837	384.5391541
215	13139.46875	13128.65234	339.5868225	328.7704163
216	13323.63477	13362.66602	344.7463684	383.7776184
217	13197.47754	13222.78516	339.523468	364.8310852
218	13282.01563	13315.92773	339.3651733	373.2772827
219	13266.4375	13317.8418	332.6665344	384.0708313
220	13580.97949	13585.37305	348.4129639	352.8065186
221	13679.85938	13702.59277	347.5953979	370.3287964
222	13545.66797	13580.19727	342.0081177	376.5374146
223	13377.38574	13409.9082	348.2149048	380.7373657
224	13503.0625	13545.5498	344.1552124	386.6425171
225	13483.4834	13487.17871	344.0908508	347.7861633
226	13436.14844	13473.95996	341.0161438	378.8276672
227	13472.46191	13496.62695	341.0910034	365.2560425
228	13561.80664	13572.99316	338.3605957	349.5471191
229	13614.74414	13584.48438	355.9937439	325.7339783
230	13558.83398	13560.59766	357.47229	359.2359619
231	13773.50586	13755.23438	358.6743774	340.4028931
232	13644.59082	13703.94531	348.0352173	407.3897095
233	13700.42383	13691.72559	353.9511719	345.2529297
234	13553.34668	13531.99414	350.9430237	329.5904846
235	13606.31055	13604.2041	349.484375	347.3779297
236	13808.02344	13823.12891	350.54776	365.6532288
237	13628.73828	13660.6543	336.4241333	368.3401489
238	13586.07813	13663.90137	332.5461731	410.3694153
239	13798.30664	13850.5459	340.1955566	392.4348145
240	13854.19727	13893.16699	339.0919495	378.061676
241	13684.60742	13681.77344	346.1673584	343.333374
242	13443.25781	13485.54102	342.3707581	384.6539612
243	13400.35742	13414.85742	343.4113464	357.9113464
244	13675.4707	13632.40234	347.8452454	304.776886
245	13787.9502	13777.3252	342.9888	332.3638
246	13547.88574	13538.39648	348.5761108	339.086853
247	13678.82617	13689.2041	337.9750671	348.3529968
248	13600.99707	13670.97656	347.459198	417.4386902
249	13680.68066	13609.7373	359.5550537	288.6116943
250	13645.42676	13665.65234	344.9230347	365.1486206
251	13626.09082	13592.25781	339.7941895	305.9611816
252	13400.65625	13422.41309	349.4652405	371.2220764
253	13490.21875	13514.11621	351.5635986	375.4610596
254	13164.90723	13228.16699	346.5503235	409.8100891
255	13438.88477	13487.99219	331.3782349	380.4856567
256	13352.29199	13414.49707	322.9067383	385.1118164
257	13394.18555	13427.62988	348.151062	381.5953979
258	13402.32129	13438.25586	346.7297974	382.6643677
259	13490.57715	13521.40918	339.1877747	370.0198059
260	13648.44531	13647.12988	337.4699402	336.1545105
261	13658.9502	13657.22949	338.2794189	336.5587158
262	13577.78027	13548.7041	344.0584717	314.9822998
263	13601.68848	13619.0752	337.0873718	354.4740906
264	13797.26855	13727.16895	343.119751	273.0201416
265	13727.32031	13741.11328	344.4962769	358.2892456
266	13394.95508	13374.74414	351.5899658	331.3790283
267	13393.35645	13410.84277	347.7052002	365.1915283
268	13455.36523	13470.75684	346.0122681	361.4038696
269	13728.69824	13743.50781	355.5514221	370.3609924
270	13367.24805	13423.04492	347.3579102	403.1547852
271	13552.4834	13574.34766	347.9550171	369.8192749
272	13684.12598	13732.76953	349.9432983	398.586853
273	13564.04102	13615.05078	347.5197449	398.5295105
274	13583.66016	13663.62109	346.5031433	426.4640808
